col1,col2
climbing,"Leo núi, Trèo đèo, Môn thể thao mạo hiểm"
club_1,"Câu lạc bộ 1, Hội nhóm, Tổ chức xã hội"
coffee_shop,"Quán cà phê, Tiệm cà phê, Cửa hàng đồ uống"
college_2,"Trường cao đẳng 2, Học viện, Đại học"
company_employee,"Nhân viên công ty, Người lao động, Nhân sự"
company_office,"Văn phòng công ty, Trụ sở, Cơ quan"
county_public_safety,"An toàn công cộng quận, Dịch vụ khẩn cấp, Cảnh sát cứu hỏa"
cre_Doc_Template_Mgt,"Tài liệu, Mẫu, Đoạn văn, Văn bản"
cre_Doc_Tracking_DB,"Địa điểm, Tài liệu, Nhân viên, Vai trò"
cre_Docs_and_Epenses,"Tài liệu, Tài khoản, Báo cáo, Ngân sách, Dự án"
cre_Theme_park,"Công viên chủ đề, Khu vui chơi, Công viên giải trí"
csu_1,"Trường, Bằng cấp, Đại học, Học phí, Sinh viên, Giảng viên"
culture_company,"Công ty văn hóa, Doanh nghiệp nghệ thuật, Tổ chức sáng tạo"
customer_complaints,"Khiếu nại khách hàng, Phản hồi tiêu cực, Bảo hành sản phẩm"
customer_deliveries,"Giao hàng cho khách, Vận chuyển đơn hàng, Dịch vụ giao nhận"
customers_and_addresses,"Khách hàng và địa chỉ, Danh sách khách hàng, Thông tin liên hệ"
debate,"Tranh luận, Thảo luận, Đối thoại"
department_store,"Cửa hàng bách hóa, Trung tâm thương mại, Siêu thị"
device,"Thiết bị, Công cụ, Máy móc"
dog_kennels,"Trại chó, Chỗ nuôi chó, Dịch vụ chăm sóc thú cưng"
dorm_1,"Ký túc xá 1, Nhà ở sinh viên, Chỗ ở tập thể"
e_government,"Chính phủ điện tử, Quản lý số, Công nghệ hành chính"
election,"Bầu cử, Ứng cử, Tranh cử"
entertainment_awards,"Giải thưởng giải trí, Danh hiệu nghệ thuật, Vinh danh"
entrepreneur,"Doanh nhân, Nhà kinh doanh, Người khởi nghiệp"
epinions_1,"Nhận xét ePinions, Đánh giá sản phẩm, Phản hồi khách hàng"
film_rank,"Xếp hạng phim, Đánh giá điện ảnh, Bảng xếp hạng phim"
flight_1,"Chuyến bay 1, Hành trình hàng không, Vé máy bay"
flight_4,"Chuyến bay 4, Hành trình hàng không, Dịch vụ hàng không"
formula_1,"Đua xe Công thức 1, Giải đua F1, Môn thể thao tốc độ"
game_1,"Trò chơi 1, Trận đấu, Giải trí điện tử"
gas_company,"Công ty khí đốt, Nhà cung cấp năng lượng, Doanh nghiệp khí hóa"
geo,"Địa lý, Khoa học trái đất, Thông tin địa hình"
gymnast,"Vận động viên thể dục, Người tập gym, Thể dục dụng cụ"
hospital_1,"Bệnh viện 1, Cơ sở y tế, Trung tâm chăm sóc sức khỏe"
hr_1,"Nhân sự 1, Quản lý nguồn nhân lực, Tuyển dụng"
icfp_1,"Tác giả, Báo cáo, Nghiên cứu, Bài báo, Tiêu đề"
inn_1,"Nhà trọ 1, Khách sạn nhỏ, Chỗ ở qua đêm"
insurance_fnol,"Bảo hiểm báo cáo tổn thất đầu tiên, Khiếu nại bảo hiểm, Yêu cầu bồi thường"
insurance_policies,"Chính sách bảo hiểm, Gói bảo hiểm, Hợp đồng bảo hiểm"
journal_committee,"Ban biên tập tạp chí, Ủy ban học thuật, Hội đồng nghiên cứu"
loan_1,"Khoản vay 1, Tín dụng, Hỗ trợ tài chính"
local_govt_and_lot,"Chính quyền địa phương và quy hoạch, Quản lý đô thị, Hành chính công"
local_govt_mdm,"Mã hễ thống, Thuế, Tham chiếu"
manufactory_1,"Nhà máy sản xuất 1, Xưởng chế tạo, Cơ sở công nghiệp"
medicine_enzyme_interaction,"Tương tác enzyme thuốc, Nghiên cứu y dược, Công nghệ sinh học"
movie_1,"Phim 1, Tác phẩm điện ảnh, Bộ phim"
music_1,"Âm nhạc 1, Nghệ thuật âm thanh, Giai điệu"
music_4,"Âm nhạc 4, Tác phẩm âm nhạc, Nhạc cụ"
musical,"Nhạc kịch, Chương trình âm nhạc, Sân khấu ca nhạc"
network_2,"Mạng lưới 2, Hệ thống kết nối, Công nghệ truyền thông"
news_report,"Báo cáo tin tức, Bản tin, Truyền thông"
orchestra,"Dàn nhạc giao hưởng, Nhóm nhạc, Ban nhạc cổ điển"
party_people,"Người tham gia tiệc, Khách mời sự kiện, Hội nhóm vui chơi"
performance_attendance,"Tham dự buổi biểu diễn, Khán giả, Người xem"
pets_1,"Thú cưng 1, Động vật nuôi, Bạn đồng hành"
phone_1,"Điện thoại 1, Thiết bị di động, Liên lạc"
pilot_record,"Hồ sơ phi công, Lý lịch bay, Giấy phép hàng không"
poker_player,"Người chơi poker, Bài bạc, Đánh bài"
products_gen_characteristics,"Đặc điểm chung của sản phẩm, Tính năng, Chất lượng"
program_share,"Chia sẻ chương trình, Phân phối phần mềm, Công nghệ số"
protein_institute,"Viện nghiên cứu protein, Công nghệ sinh học, Dinh dưỡng"
race_track,"Đường đua, Trường đua, Cuộc thi tốc độ"
railway,"Đường sắt, Tuyến tàu hỏa, Giao thông đường sắt"
real_estate_properties,"Bất động sản, Nhà đất, Tài sản địa ốc"
restaurants,"Nhà hàng, Quán ăn, Ẩm thực"
riding_club,"Câu lạc bộ cưỡi ngựa, Hội đua ngựa, Trung tâm huấn luyện"
roller_coaster,"Tàu lượn siêu tốc, Trò chơi cảm giác mạnh, Công viên giải trí"
scholar,"Học giả, Nhà nghiên cứu, Người uyên bác"
school_finance,"Tài chính trường học, Ngân sách giáo dục, Quản lý tài chính"
ship_1,"Tàu 1, Phương tiện hàng hải, Vận tải biển"
shop_membership,"Thẻ thành viên cửa hàng, Hội viên, Khách hàng thân thiết"
small_bank_1,"Ngân hàng nhỏ 1, Dịch vụ tài chính, Tổ chức tín dụng"
soccer_2,"Bóng đá 2, Môn thể thao, Trận đấu"
solvency_ii,"Quy định Solvency II, Quản lý rủi ro tài chính, Kiểm soát bảo hiểm"
store_1,"Cửa hàng 1, Siêu thị, Nơi mua sắm"
student_transcripts_tracking,"Theo dõi bảng điểm sinh viên, Quản lý thành tích, Hồ sơ học tập"
theme_gallery,"Phòng trưng bày chủ đề, Triển lãm, Không gian nghệ thuật"
tracking_grants_for_research,"Theo dõi tài trợ nghiên cứu, Quản lý quỹ khoa học, Hỗ trợ nghiên cứu"
tracking_orders,"Theo dõi đơn hàng, Quản lý mua sắm, Đơn hàng trực tuyến"
tracking_software_problems,"Theo dõi lỗi phần mềm, Gỡ lỗi, Hệ thống kiểm tra"
tvshow,"Chương trình truyền hình, Phim bộ, Giải trí trên TV"
twitter_1,"Twitter 1, Mạng xã hội, Microblogging"
university_basketball,"Bóng rổ đại học, Giải đấu sinh viên, Trận đấu thể thao"
voter_2,"Cử tri 2, Người bỏ phiếu, Quyền bầu cử"
wine_1,"Rượu vang 1, Đồ uống có cồn, Nho ủ"
world_1,"Thế giới 1, Địa cầu, Toàn cầu hóa"
wrestler,"Đô vật, Vận động viên đấu vật, Thể thao đối kháng"
